Classifier,Method,Unigrams,Negation,Class,Recall,Precision
MaxentClassifier,1step,ngram1,negtnFalse,Neg,0.715254237,0.651234568
MaxentClassifier,1step,ngram1,negtnFalse,Neg,0.722222222,0.670487106
MaxentClassifier,1step,ngram1,negtnFalse,Neg,0.717171717,0.630177515
MaxentClassifier,1step,ngram1,negtnFalse,Neg,0.764119601,0.666666667
MaxentClassifier,1step,ngram1,negtnFalse,Neg,0.717171717,0.659442724
MaxentClassifier,1step,ngram1,negtnFalse,Neg,0.763250883,0.642857143
MaxentClassifier,1step,ngram1,negtnFalse,Neg,0.775167785,0.639889197
MaxentClassifier,1step,ngram1,negtnFalse,Neg,0.759878419,0.651041667
MaxentClassifier,1step,ngram1,negtnFalse,Neg,0.764119601,0.651558074
MaxentClassifier,1step,ngram1,negtnFalse,Neg,0.698360656,0.645454545
MaxentClassifier,1step,ngram1,negtnTrue,Neg,0.715254237,0.678456592
MaxentClassifier,1step,ngram1,negtnTrue,Neg,0.688271605,0.686153846
MaxentClassifier,1step,ngram1,negtnTrue,Neg,0.683501684,0.656957929
MaxentClassifier,1step,ngram1,negtnTrue,Neg,0.754152824,0.689969605
MaxentClassifier,1step,ngram1,negtnTrue,Neg,0.68013468,0.682432432
MaxentClassifier,1step,ngram1,negtnTrue,Neg,0.717314488,0.6485623
MaxentClassifier,1step,ngram1,negtnTrue,Neg,0.734899329,0.66163142
MaxentClassifier,1step,ngram1,negtnTrue,Neg,0.744680851,0.708092486
MaxentClassifier,1step,ngram1,negtnTrue,Neg,0.724252492,0.662613982
MaxentClassifier,1step,ngram1,negtnTrue,Neg,0.672131148,0.681063123
MaxentClassifier,1step,ngram3,negtnFalse,Neg,0.718644068,0.656346749
MaxentClassifier,1step,ngram3,negtnFalse,Neg,0.731481481,0.688953488
MaxentClassifier,1step,ngram3,negtnFalse,Neg,0.7003367,0.652037618
MaxentClassifier,1step,ngram3,negtnFalse,Neg,0.747508306,0.70754717
MaxentClassifier,1step,ngram3,negtnFalse,Neg,0.713804714,0.688311688
MaxentClassifier,1step,ngram3,negtnFalse,Neg,0.692579505,0.678200692
